Stimuli_ID	Vocalist_ID	Technique	Artist	Song	Lyrics	Duration	Tempo	Time_signature	Original_Corresponding_Excerpt	WAV_Path	Credits	Session_date_YMD	logMel_Path	Spectral_Centroid	Gender	Age_at_recording	band_url	annotations
STIM-011	A	Screaming_NV	August Burns Red	The Reflective Property	"""A brief wind is swept through"""	2774.78	180	4/4	EXCE-155	audio/STIM-011.wav	Izzy Vincent	20250525	logMel\STIM-011.png	2652.384126	Male		https://fadelessband.wixsite.com/fadelessband	
STIM-012	A	Screaming_V	August Burns Red	The Reflective Property	"""A brief wind is swept through"""	3436.55	180	4/4	EXCE-155	audio/STIM-012.wav	Izzy Vincent	20250525	logMel\STIM-012.png	2830.529638	Male		https://fadelessband.wixsite.com/fadelessband	
STIM-013	A	Screaming_NV	Northlane	Metamorphosis	"""And I will overcome this suffering"""	4702.04	140	4/4	EXCE-179	audio/STIM-013.wav	Izzy Vincent	20250525	logMel\STIM-013.png	2549.941464	Male		https://fadelessband.wixsite.com/fadelessband	
STIM-014	A	Screaming_V	Northlane	Metamorphosis	"""And I will overcome this suffering"""	4458.23	140	4/4	EXCE-179	audio/STIM-014.wav	Izzy Vincent	20250525	logMel\STIM-014.png	2792.433471	Male		https://fadelessband.wixsite.com/fadelessband	
STIM-015	A	Screaming_NV	Chelsea Grin	Behind A Veil Of Lies	"""I can't seek help from angels"""	2101.41	115	4/4	EXCE-087	audio/STIM-015.wav	Izzy Vincent	20250525	logMel\STIM-015.png	3197.40282	Male		https://fadelessband.wixsite.com/fadelessband	
STIM-016	A	Screaming_V	Chelsea Grin	Behind A Veil Of Lies	"""I can't seek help from angels"""	2472.93	115	4/4	EXCE-087	audio/STIM-016.wav	Izzy Vincent	20250525	logMel\STIM-016.png	3199.540494	Male		https://fadelessband.wixsite.com/fadelessband	
STIM-017	A	Growling_NV	Whitechapel	The Night Remains	"""Rid yourself and never return"""	3076.64	155	4/4	EXCE-141	audio/STIM-017.wav	Izzy Vincent	20250525	logMel\STIM-017.png	2321.996469	Male		https://fadelessband.wixsite.com/fadelessband	
STIM-018	A	Growling_V	Whitechapel	The Night Remains	"""Rid yourself and never return"""	3053.42	155	4/4	EXCE-141	audio/STIM-018.wav	Izzy Vincent	20250525	logMel\STIM-018.png	2366.642707	Male		https://fadelessband.wixsite.com/fadelessband	
STIM-019	A	Growling_NV	Morbid Angel	God Of Our Own Divinity	"""Break apart this rusty chains"""	2380.05	140	3/4	EXCE-042	audio/STIM-019.wav	Izzy Vincent	20250525	logMel\STIM-019.png	3260.670686	Male		https://fadelessband.wixsite.com/fadelessband	
STIM-020	A	Growling_V	Morbid Angel	God Of Our Own Divinity	"""Break apart this rusty chains"""	2554.2	140	3/4	EXCE-042	audio/STIM-020.wav	Izzy Vincent	20250525	logMel\STIM-020.png	3384.440489	Male		https://fadelessband.wixsite.com/fadelessband	
STIM-021	A	Growling_NV	Whitechapel	Dwell in the Shadows	"""This blade cuts deeper than flesh"""	3378.5	95	4/4	EXCE-208	audio/STIM-021.wav	Izzy Vincent	20250525	logMel\STIM-021.png	3141.037805	Male		https://fadelessband.wixsite.com/fadelessband	
STIM-022	A	Growling_V	Whitechapel	Dwell in the Shadows	"""This blade cuts deeper than flesh"""	3529.43	95	4/4	EXCE-208	audio/STIM-022.wav	Izzy Vincent	20250525	logMel\STIM-022.png	3268.837197	Male		https://fadelessband.wixsite.com/fadelessband	
STIM-023	A	Growling_NV	The Black Dahlia Murder	Stygiophobic	"""Can't they see there are consequences?"""	4133.15	110	4/4	EXCE-184	audio/STIM-023.wav	Izzy Vincent	20250525	logMel\STIM-023.png	3031.006068	Male		https://fadelessband.wixsite.com/fadelessband	
STIM-024	A	Growling_V	The Black Dahlia Murder	Stygiophobic	"""Can't they see there are consequences?"""	3552.65	110	4/4	EXCE-184	audio/STIM-024.wav	Izzy Vincent	20250525	logMel\STIM-024.png	3275.548683	Male		https://fadelessband.wixsite.com/fadelessband	
STIM-025	B	Clean	Trivium	The Deceived - Flavus	"""Tell that the promised have been failed"""	5143.22	105	4/4	EXCE-093	audio/STIM-025.wav	Daniel Hoke Hosey III	20250506	logMel\STIM-025.png	2260.089793	Male		https://open.spotify.com/artist/1X5JBMNf6cgE6snRQX3fkK?si=4Anj9P0PR2eh8wobhwM4wQ	
STIM-026	B	Clean_FLAT	Trivium	The Deceived - Flavus	"""Tell that the promised have been failed"""	4562.72	105	4/4	EXCE-093	audio/STIM-026.wav	Daniel Hoke Hosey III	20250506	logMel\STIM-026.png	2267.923921	Male		https://open.spotify.com/artist/1X5JBMNf6cgE6snRQX3fkK?si=4Anj9P0PR2eh8wobhwM4wQ	
