Excerpt_ID	Technique	Artist	Album	Album_Popularity	Song	Year	Stream_Count	Track_Popularity	Duration	Timecode	Lyrics	Spotify_URL	MP3_Path	Date_collected	
EXCE-020	Growling	Dying Fetus	Killing on Adrenaline	20	Absolute Defiance	2022	282879	14	3:53	2:06-2:09	"""with puppet strings, and faking lies"""	https://open.spotify.com/track/2EtygVTPIE3ZgWxd8vLcnL?si=9272dc6da0504505	excerpts_audio/EXCE-020.mp3	19/3/2025	
EXCE-021	Growling	Dying Fetus	Killing on Adrenaline	20	Judgement Day	2022	484210	14	1:50	0:26-0:30	"""Will you stand or will you fall"""	https://open.spotify.com/track/4pt5h5wmoDYEik0Y4WuwP1?si=fcbfa6bf71034e98	excerpts_audio/EXCE-021.mp3	19/3/2025	
EXCE-022	Growling	Dying Fetus	War of Attrition	25	The Ancient Rivalry	2007	143799	15	3:41	2:11-2:14	"""Fighting a war, that cannot be won"""	https://open.spotify.com/track/4clcZUY6PDQQIi8wmr6xI7?si=995579b1921b44ee	excerpts_audio/EXCE-022.mp3	19/3/2025	
EXCE-023	Growling	Dying Fetus	War of Attrition	25	Parasites of Catastrophe	2007	134607	16	4:12	1:39-1:43	"""VULGAR DISPLAY OF RUTHLESSNESS"""	https://open.spotify.com/track/0EJUttSi3wLUNFCn1yL9gW?si=56778ee078244cbc	excerpts_audio/EXCE-023.mp3	19/3/2025	
EXCE-024	Growling	Dying Fetus	War of Attrition	25	Obsolete Deterrence	2007	130603	16	4:13	3:09-3:12	"""that no god even cares for"""	https://open.spotify.com/track/7ELboZ6lccNKDQmennEebW?si=779e6d76d6494e33	excerpts_audio/EXCE-024.mp3	19/3/2025	
EXCE-025	Growling	The Faceless	In Becoming a Ghost	22	The Terminal Breath	2017	392254	14	4:58	1:50-1:56	"""I call upon oblivion"""	https://open.spotify.com/track/2i1qlHAGMaN13sY4Glz9mj?si=a46a5ed4e38143bd	excerpts_audio/EXCE-025.mp3	19/3/2025	
EXCE-026	Growling	The Faceless	In Becoming a Ghost	22	I am	2017	547996	17	5:56	1:03-1:08	"""And all the enveloping endless sadness"""	https://open.spotify.com/track/0kmuM7s8OlhO6GwRNW18v3?si=9a2acd18e5144ec7	excerpts_audio/EXCE-026.mp3	19/3/2025	
EXCE-027	Growling	The Faceless	In Becoming a Ghost	22	Shake The Disease	2017	803265	18	5:42	2:46-2:50	"""In spirit I'll be there"""	https://open.spotify.com/track/3on849PTtZHU52UQAUl7MH?si=6d83f572b6594184	excerpts_audio/EXCE-027.mp3	19/3/2025	
EXCE-028	Growling	Incantation	Decimate Christendom	4	Horns of Eradication	2004	6845	1	5:19	2:28-2:35	"""Certain it will come"""	https://open.spotify.com/track/3gAvWFt92ZoJd5U7YzvQK6?si=3ae273ac1f3f4111	excerpts_audio/EXCE-028.mp3	16/3/2025	
EXCE-029	Growling	Incantation	Decimate Christendom	4	Feeble Existence	2004	5017	1	3:48	2:17-2:23	"""Upon thy servants Leaving no trace"""	https://open.spotify.com/track/6xdKdVHQ9MyVUXzVwQUyMX?si=8cfbe4a0b75645b0	excerpts_audio/EXCE-029.mp3	16/3/2025	
EXCE-030	Growling	Incantation	Decimate Christendom	4	Thorns Of Everlasting Persecution	2004	5873	1	6:34	2:36-2:40	"""Crumbled sanctuaries"""	https://open.spotify.com/track/0alX5GJxSZj1AR9i9lVbe4?si=2dd8147ae4cb4931	excerpts_audio/EXCE-030.mp3	16/3/2025	
EXCE-031	Growling	Incantation	Primordial Domination	6	Extirpated Dominus	2006	10987	2	5:05	2:27-2:31	"""I ascend the throne"""	https://open.spotify.com/track/6CUdkXGqlChp7M2PwvClLx?si=54d061a76f7341c6	excerpts_audio/EXCE-031.mp3	16/3/2025	
EXCE-032	Growling	Incantation	Primordial Domination	6	Conquered God	2006	10400	2	6:09	2:34-2:42	"""Only to arise and prevail"""	https://open.spotify.com/track/7o9ZjjvoYuumC3XOJfmxaF?si=7920bb8373cc4f55	excerpts_audio/EXCE-032.mp3	16/3/2025	
