Stimuli_ID	Vocalist_ID	Technique	Artist	Song	Lyrics	Duration	Rhythm	Melody	Tempo	Time_signature	Original_Corresponding_Excerpt	WAV_Path	Credits	Session_date_YMD	logMel_Path	Spectral_Centroid	annotations	Age_at_recording
VOX-036	K	Growling_V	August Burns Red	The Reflective Property	"""A brief wind is swept through"""				180	4/4	EXCE-155	audio/VOX-036.wav	Geoffrey Uhal	20250529				
VOX-037	K	Clean	Northlane	Metamorphosis	"""And I will overcome this suffering"""				140	4/4	EXCE-179	audio/VOX-037.wav	Geoffrey Uhal	20250529				
VOX-038	K	Clean_FLAT	Northlane	Metamorphosis	"""And I will overcome this suffering"""				140	4/4	EXCE-179	audio/VOX-038.wav	Geoffrey Uhal	20250529				
VOX-039	K	Screaming_NV	Northlane	Metamorphosis	"""And I will overcome this suffering"""				140	4/4	EXCE-179	audio/VOX-039.wav	Geoffrey Uhal	20250529				
VOX-040	K	Screaming_V	Northlane	Metamorphosis	"""And I will overcome this suffering"""				140	4/4	EXCE-179	audio/VOX-040.wav	Geoffrey Uhal	20250529				
VOX-041	K	Growling_NV	Northlane	Metamorphosis	"""And I will overcome this suffering"""				140	4/4	EXCE-179	audio/VOX-041.wav	Geoffrey Uhal	20250529				
VOX-042	K	Growling_V	Northlane	Metamorphosis	"""And I will overcome this suffering"""				140	4/4	EXCE-179	audio/VOX-042.wav	Geoffrey Uhal	20250529				
VOX-043	K	Clean	Chelsea Grin	Behind A Veil Of Lies	"""I can't seek help from angels"""				115	4/4	EXCE-087	audio/VOX-043.wav	Geoffrey Uhal	20250529				
VOX-044	K	Clean_FLAT	Chelsea Grin	Behind A Veil Of Lies	"""I can't seek help from angels"""				115	4/4	EXCE-087	audio/VOX-044.wav	Geoffrey Uhal	20250529				
VOX-045	K	Screaming_NV	Chelsea Grin	Behind A Veil Of Lies	"""I can't seek help from angels"""				115	4/4	EXCE-087	audio/VOX-045.wav	Geoffrey Uhal	20250529				
VOX-046	K	Screaming_V	Chelsea Grin	Behind A Veil Of Lies	"""I can't seek help from angels"""				115	4/4	EXCE-087	audio/VOX-046.wav	Geoffrey Uhal	20250529				
VOX-047	K	Growling_NV	Chelsea Grin	Behind A Veil Of Lies	"""I can't seek help from angels"""				115	4/4	EXCE-087	audio/VOX-047.wav	Geoffrey Uhal	20250529				
VOX-048	K	Growling_V	Chelsea Grin	Behind A Veil Of Lies	"""I can't seek help from angels"""				115	4/4	EXCE-087	audio/VOX-048.wav	Geoffrey Uhal	20250529				
VOX-049	K	Clean	Whitechapel	The Night Remains	"""Rid yourself and never return"""				155	4/4	EXCE-141	audio/VOX-049.wav	Geoffrey Uhal	20250529				
VOX-050	K	Clean_FLAT	Whitechapel	The Night Remains	"""Rid yourself and never return"""				155	4/4	EXCE-141	audio/VOX-050.wav	Geoffrey Uhal	20250529				
VOX-051	K	Screaming_NV	Whitechapel	The Night Remains	"""Rid yourself and never return"""				155	4/4	EXCE-141	audio/VOX-051.wav	Geoffrey Uhal	20250529				
VOX-052	K	Screaming_V	Whitechapel	The Night Remains	"""Rid yourself and never return"""				155	4/4	EXCE-141	audio/VOX-052.wav	Geoffrey Uhal	20250529				
VOX-053	K	Growling_NV	Whitechapel	The Night Remains	"""Rid yourself and never return"""				155	4/4	EXCE-141	audio/VOX-053.wav	Geoffrey Uhal	20250529				
VOX-054	K	Growling_V	Whitechapel	The Night Remains	"""Rid yourself and never return"""				155	4/4	EXCE-141	audio/VOX-054.wav	Geoffrey Uhal	20250529				
VOX-055	K	Clean	Morbid Angel	God Of Our Own Divinity	"""Break apart this rusty chains"""				140	3/4	EXCE-042	audio/VOX-055.wav	Geoffrey Uhal	20250529				
VOX-056	K	Clean_FLAT	Morbid Angel	God Of Our Own Divinity	"""Break apart this rusty chains"""				140	3/4	EXCE-042	audio/VOX-056.wav	Geoffrey Uhal	20250529				
VOX-057	K	Screaming_NV	Morbid Angel	God Of Our Own Divinity	"""Break apart this rusty chains"""				140	3/4	EXCE-042	audio/VOX-057.wav	Geoffrey Uhal	20250529				
VOX-058	K	Screaming_V	Morbid Angel	God Of Our Own Divinity	"""Break apart this rusty chains"""				140	3/4	EXCE-042	audio/VOX-058.wav	Geoffrey Uhal	20250529				
VOX-059	K	Growling_NV	Morbid Angel	God Of Our Own Divinity	"""Break apart this rusty chains"""				140	3/4	EXCE-042	audio/VOX-059.wav	Geoffrey Uhal	20250529				
VOX-060	K	Growling_V	Morbid Angel	God Of Our Own Divinity	"""Break apart this rusty chains"""				140	3/4	EXCE-042	audio/VOX-060.wav	Geoffrey Uhal	20250529				
VOX-061	K	Clean	Whitechapel	Dwell in the Shadows	"""This blade cuts deeper than flesh"""				95	4/4	EXCE-208	audio/VOX-061.wav	Geoffrey Uhal	20250529				
VOX-062	K	Clean_FLAT	Whitechapel	Dwell in the Shadows	"""This blade cuts deeper than flesh"""				95	4/4	EXCE-208	audio/VOX-062.wav	Geoffrey Uhal	20250529				
VOX-063	K	Screaming_NV	Whitechapel	Dwell in the Shadows	"""This blade cuts deeper than flesh"""				95	4/4	EXCE-208	audio/VOX-063.wav	Geoffrey Uhal	20250529				
VOX-064	K	Screaming_V	Whitechapel	Dwell in the Shadows	"""This blade cuts deeper than flesh"""				95	4/4	EXCE-208	audio/VOX-064.wav	Geoffrey Uhal	20250529				
VOX-065	K	Growling_NV	Whitechapel	Dwell in the Shadows	"""This blade cuts deeper than flesh"""				95	4/4	EXCE-208	audio/VOX-065.wav	Geoffrey Uhal	20250529				
VOX-066	K	Growling_V	Whitechapel	Dwell in the Shadows	"""This blade cuts deeper than flesh"""				95	4/4	EXCE-208	audio/VOX-066.wav	Geoffrey Uhal	20250529				
VOX-067	K	Clean	The Black Dahlia Murder	Stygiophobic	"""Can't they see there are consequences?"""				110	4/4	EXCE-184	audio/VOX-067.wav	Geoffrey Uhal	20250529				
VOX-068	K	Clean_FLAT	The Black Dahlia Murder	Stygiophobic	"""Can't they see there are consequences?"""				110	4/4	EXCE-184	audio/VOX-068.wav	Geoffrey Uhal	20250529				
VOX-069	K	Screaming_NV	The Black Dahlia Murder	Stygiophobic	"""Can't they see there are consequences?"""				110	4/4	EXCE-184	audio/VOX-069.wav	Geoffrey Uhal	20250529				
VOX-070	K	Screaming_V	The Black Dahlia Murder	Stygiophobic	"""Can't they see there are consequences?"""				110	4/4	EXCE-184	audio/VOX-070.wav	Geoffrey Uhal	20250529				
VOX-071	K	Growling_NV	The Black Dahlia Murder	Stygiophobic	"""Can't they see there are consequences?"""				110	4/4	EXCE-184	audio/VOX-071.wav	Geoffrey Uhal	20250529				
VOX-072	K	Growling_V	The Black Dahlia Murder	Stygiophobic	"""Can't they see there are consequences?"""				110	4/4	EXCE-184	audio/VOX-072.wav	Geoffrey Uhal	20250529				
VOX-073	K	Clean	Killswitch Engage	For You	"""For all you've done"""				90	6/8	EXCE-107	audio/VOX-073.wav	Geoffrey Uhal	20250529				
VOX-074	K	Clean_FLAT	Killswitch Engage	For You	"""For all you've done"""				90	6/8	EXCE-107	audio/VOX-074.wav	Geoffrey Uhal	20250529				
VOX-075	K	Screaming_NV	Killswitch Engage	For You	"""For all you've done"""				90	6/8	EXCE-107	audio/VOX-075.wav	Geoffrey Uhal	20250529				
VOX-076	K	Screaming_V	Killswitch Engage	For You	"""For all you've done"""				90	6/8	EXCE-107	audio/VOX-076.wav	Geoffrey Uhal	20250529				
VOX-077	K	Growling_NV	Killswitch Engage	For You	"""For all you've done"""				90	6/8	EXCE-107	audio/VOX-077.wav	Geoffrey Uhal	20250529				
VOX-078	K	Growling_V	Killswitch Engage	For You	"""For all you've done"""				90	6/8	EXCE-107	audio/VOX-078.wav	Geoffrey Uhal	20250529				
VOX-079	K	Clean	Northlane	Weightless	"""Guided by familiar sight"""				85	4/4	EXCE-177	audio/VOX-079.wav	Geoffrey Uhal	20250529				
VOX-080	K	Clean_FLAT	Northlane	Weightless	"""Guided by familiar sight"""				85	4/4	EXCE-177	audio/VOX-080.wav	Geoffrey Uhal	20250529				
VOX-081	K	Screaming_NV	Northlane	Weightless	"""Guided by familiar sight"""				85	4/4	EXCE-177	audio/VOX-081.wav	Geoffrey Uhal	20250529				
