Excerpt_ID	Technique	Artist	Album	Album_Popularity	Song	Year	Stream_Count	Track_Popularity	Duration	Timecode	Excerpt_duration_ms	Lyrics	Rhythmic_representation	Melodic_representation	Time_signature	Tempo_(approx.)	Spectral_Centroid	Spotify_URL	MP3_Path	Date_collected
EXCE-015	Growling	Carcass	Reek of Putrefaction	27	Malignant Defecation	1988	75706	9	2:15	1:12-1:15	2685.42	"""Waiting dormantly, it knows you're easy prey"""	4 4 8 8 8 8 8 8 8 8 2	Contour: high high low low low low low low low low medium 	4/4	220	3063.073865	https://open.spotify.com/track/6ZKUE9jsLoaZ0fWnGjgBfi?si=a972346fdfdc4c9e	excerpts_audio/EXCE-015.mp3	6/3/2025
EXCE-016	Growling	Carcass	Symphonies of Sickness	28	Crepitating Bowel Erosion	1989	161136	12	5:28	2:19-2:24	5532.31	"""Munch the mouldy scabs, lick the septic gash"""	4. 8 4 4 2 2r 4. 8 4 4 2 	Contour: low low low low medium low low low low high	4/4	200	4319.944145	https://open.spotify.com/track/071DyvJmbN1A7AaI4Fsq8C?si=542d7dc24eb147dc	excerpts_audio/EXCE-016.mp3	6/3/2025
EXCE-017	Screaming	Carcass	Symphonies of Sickness	28	Cadaveric Incubator of Endoparasites	1989	173277	13	3:23	1:37-1:40	2668.16	"""Come and take a bite"""	4. 8 4 4 2	Contour: medium low low low high	4/4	200	4037.698775	https://open.spotify.com/track/4ly3gj3P7cFot8NzUqb7Vv?si=08a00c6ddcbf4add	excerpts_audio/EXCE-017.mp3	6/3/2025
EXCE-018	Growling	Carcass	Symphonies of Sickness	28	Slash Dementia	1989	114173	14	3:23	1:34-1:39	6579.32	"""Skewering eye-orbits, brain, genitals and organs I grind"""	16 16 16 16 8 8 4 16 16 4. 8 8 4 8 2	Contour: high high high high low low low low low low low low medium high high	4/4	180	3834.123942	https://open.spotify.com/track/0wPFkTHQKj1QhiCQHL8IfY?si=744fa64f90e54bfb	excerpts_audio/EXCE-018.mp3	6/3/2025
EXCE-019	Growling	Dying Fetus	Killing on Adrenaline	20	We Are Your Enemy	2022	349229	14	3:45	2:50-2:54	2604.26	"""let's spread the wealth among us"""	4 4 4 4 4 4 4	Contour: high low low low low low low	4/4	180	3258.8099	https://open.spotify.com/track/5u5KnppZeVxMnfmXfQj25v?si=79e3cba52f3b42b4	excerpts_audio/EXCE-019.mp3	19/3/2025
EXCE-020	Growling	Dying Fetus	Killing on Adrenaline	20	Absolute Defiance	2022	282879	14	3:53	2:06-2:09	2731	"""with puppet strings, and faking lies"""	8 8 4. 4. 8 8 4. 4. 8r	Contour: low high low low low high low low	4/4	200	3641.186961	https://open.spotify.com/track/2EtygVTPIE3ZgWxd8vLcnL?si=9272dc6da0504505	excerpts_audio/EXCE-020.mp3	19/3/2025
EXCE-021	Growling	Dying Fetus	Killing on Adrenaline	20	Judgement Day	2022	484210	14	1:50	0:26-0:30	4630.09	"""Will you stand or will you fall"""	4r 4 4 2 2 2r 4 4r 4 2	Contour: low low medium medium low medium medium	4/4	166	2654.319347	https://open.spotify.com/track/4pt5h5wmoDYEik0Y4WuwP1?si=fcbfa6bf71034e98	excerpts_audio/EXCE-021.mp3	19/3/2025
EXCE-022	Growling	Dying Fetus	War of Attrition	25	The Ancient Rivalry	2007	143799	15	3:41	2:11-2:14	2847.3	"""Fighting a war, that cannot be won"""	16 16 8 4. 8 16 16 8 4	Contour: low low low low low low low low low	4/4	90	3251.189304	https://open.spotify.com/track/4clcZUY6PDQQIi8wmr6xI7?si=995579b1921b44ee	excerpts_audio/EXCE-022.mp3	19/3/2025
EXCE-023	Growling	Dying Fetus	War of Attrition	25	Parasites of Catastrophe	2007	134607	16	4:12	1:39-1:43	3851.72	"""VULGAR DISPLAY OF RUTHLESSNESS"""	4 4 4 4 4 4 4 4	Contour: low2 low2 low2 low2 low2 low2 low2 low1	4/4	210	3365.2253	https://open.spotify.com/track/0EJUttSi3wLUNFCn1yL9gW?si=56778ee078244cbc	excerpts_audio/EXCE-023.mp3	19/3/2025
EXCE-024	Growling	Dying Fetus	War of Attrition	25	Obsolete Deterrence	2007	130603	16	4:13	3:09-3:12	2793.95	"""that no god even cares for"""	4 4 4 8r 4 4 4 4	Contour: low low high low low high high	4/4	195	3509.613019	https://open.spotify.com/track/7ELboZ6lccNKDQmennEebW?si=779e6d76d6494e33	excerpts_audio/EXCE-024.mp3	19/3/2025
