Excerpt_ID	Technique	Artist	Album	Album_Popularity	Song	Year	Stream_Count	Track_Popularity	Duration	Timecode	Excerpt_duration_ms	Lyrics	Rhythmic_representation	Melodic_representation	Time_signature	Tempo_(approx.)	Spectral_Centroid	Spotify_URL	MP3_Path	Date_collected
EXCE-066	Screaming	Architects	Nightmares	24	They'll be Hanging Us Tonight	2006	240127	19	3:31	1:12-1:15	3160.59	"""They're gaining on us"""	8 4 4 4 2.	Contour: high high high high medium	3/4	153	3519.941254	https://open.spotify.com/track/2PwBaePtbJ3YPVdDZU8C0M?si=ef334286b4d64806	excerpts_audio/EXCE-066.mp3	19/3/2025
EXCE-067	Screaming	Architects	Ruin	25	Save me	2007	282130	17	4:27	2:21-2:26	5310.84	"""hands around my fucking neck"""	4 4 4 4 4 2 4r 1	Contour: high high high medium medium medium high	4/4	195	3714.477342	https://open.spotify.com/track/4OcGoMEswyzR8s9ZJjDMPX?si=4ec9c1ce038542bb	excerpts_audio/EXCE-067.mp3	19/3/2025
EXCE-068	Screaming	Architects	Ruin	25	I Can't See the Light	2007	274811	17	4:23	1:39-1:42	3493.15	"""to let you back in"""	8 8 8 4 2	Contour: medium high medium high high	4/4	100	3951.315873	https://open.spotify.com/track/1wFbhX7yT3K5ciWs6ymy4V?si=dacec864a6df40b3	excerpts_audio/EXCE-068.mp3	19/3/2025
EXCE-069	Screaming	Architects	Ruin	25	Low	2007	294465	17	2:23	1:40-1:47	7709.12	"""But you're so far away now"""	4 4.4r 4 4. 4. 4. 4.	Contour: low medium low high high high high 	7/8	170	3489.434551	https://open.spotify.com/track/6UcoRtkw8JmhOaY8E5vRiM?si=6090dda273664395	excerpts_audio/EXCE-069.mp3	19/3/2025
EXCE-070	Screaming	Architects	The Here and Now	37	The Blues	2012	1159138	26	3:16	0:31-0:35	4110.41	"""I've had to work for everything"""	8r 8 8 8 4 8 4 6 6	Contour: medium medium medium high high high high high 	4/4	120	4060.892102	https://open.spotify.com/track/6O2Za3RsMMm2KUMtREiW8H?si=3bc5519637c44f83	excerpts_audio/EXCE-070.mp3	19/3/2025
EXCE-071	Screaming	Architects	The Here and Now	37	Stay Young Forever	2012	1083511	26	3:02	1:05-1:09	4574.26	"""Is there any point to this?"""	8 8 4 4 8 8 8 4.	Contour: high high high high high high medium high	4/4	100	4285.447385	https://open.spotify.com/track/7AjP5utWoSzF5S4NpMHcEz?si=c12afaf6eb8b49d7	excerpts_audio/EXCE-071.mp3	19/3/2025
EXCE-072	Screaming	Architects	The Here and Now	37	Year in Year Out/Up and Away	2012	1049614	26	7:27	3:54-3:59	5107.53	"""Live everyday like your last"""	4 4 4 2 4 4 4	Contour: high high high high high high high	4/4	107	3563.547888	https://open.spotify.com/track/4N4pBQtZ9tjHjbb6uxQHW0?si=87a92f09968442b0	excerpts_audio/EXCE-072.mp3	19/3/2025
EXCE-073	Screaming	Cradle of Filth	The Screaming Of The Valkyries	18	Malignant Perfection	2025	960194	10	6:45	5:15-5:19	4249.09	"""Temple praise the brazen goddess"""	8 8 4 4 4 4 4 2	Contour: high high high high high high high high	4/4	136	3554.796248	https://open.spotify.com/track/0IJywnWQz1lwAFg4IeXgHG?si=9b8fa8b2d3194d6e	excerpts_audio/EXCE-073.mp3	22/3/2025
EXCE-074	Screaming	Cradle of Filth	The Screaming Of The Valkyries	18	White Hellebore	2025	223978	13	5:04	2:49-2:51	2899.48	"""The bittersweet necrosis"""	8 8 8 8 8 4 4	Contour: high high high high high high high	4/4	140	3777.091322	https://open.spotify.com/track/1hR75TMqPASQtbtsdh8ZXq?si=6672c6389d744071	excerpts_audio/EXCE-074.mp3	22/3/2025
EXCE-075	Screaming	Cradle of Filth	The Principle Of Evil Made Flesh	20	A Crescendo Of Passion Bleeding	2012	279185	11	5:30	2:09-2:12	2725.92	"""I will rule as a king"""	6 12 4 6 12 2	Contour: high high high high high high	4/4	185	3410.005629	https://open.spotify.com/track/7DBbEM3oC1ImIOpYl4PWsT?si=418e7fafd60942af	excerpts_audio/EXCE-075.mp3	22/3/2025
EXCE-076	Screaming	Cradle of Filth	The Principle Of Evil Made Flesh	20	Summer Dying Fast	2012	337301	12	5:39	2:05-2:07	2393.83	"""Will they know of majesty"""	4 4 4 4 8 2	Contour: high high high high high high high	4/4	175	4465.225131	https://open.spotify.com/track/64WyXSBeo3bnvu0eQRHOWd?si=a23d8a5aad66404d	excerpts_audio/EXCE-076.mp3	22/3/2025
EXCE-077	Screaming	Cradle of Filth	The Principle Of Evil Made Flesh	20	Of Mist And Midnight Skies	2012	330436	12	8:09	7:13-7:15	4931.66	"""We will ride again"""	8 8 4 8 2.	Contour: high high high high high	4/4	135	3738.059004	https://open.spotify.com/track/2xzzRkeyj6k1dRHscD1t8i?si=72ad8e6461034442	excerpts_audio/EXCE-077.mp3	22/3/2025
EXCE-078	Screaming	Cradle of Filth	Thornography	26	Foetus Of A New Day Kicking	2006	2456287	13	3:43	1:42-1:44	2139.71	"""A poison rush, a heart attack"""	8 8 8 8 8 8 8 8	Contour: medium medium medium medium medium medium medium medium 	4/4	125	2989.004796	https://open.spotify.com/track/7B4cLdJHXgbZJMRwGun2lS?si=d6c8882df89c427e	excerpts_audio/EXCE-078.mp3	22/3/2025
EXCE-079	Screaming	Cradle of Filth	Thornography	26	Lovesick for Mina	2006	553564	17	7:00	3:20-3:25	6484.29	"""My words alight like leaves of sin"""	8 4 4 4 4 4 4 1	Contour: medium medium medium high medium low low medium 	4/4	193	3133.553855	https://open.spotify.com/track/6NA9XsV1pzeW2QqPn8pi4g?si=7192bf27edb94cbf	excerpts_audio/EXCE-079.mp3	22/3/2025
EXCE-080	Screaming	Cradle of Filth	Thornography	26	Libertina Grimm	2006	632870	18	5:51	4:32-4:34	1851.43	"""She amputates to fit the shoe"""	8 8 8 8 8 8 8 2	Contour: high high high high high high high high	4/4	150	3289.112157	https://open.spotify.com/track/3hFv6Z14cs5oE5Ud3lv5xp?si=9fc94f4e3eb942cd	excerpts_audio/EXCE-080.mp3	22/3/2025
EXCE-081	Screaming	Cradle of Filth	Thornography	26	I Am the Thorn	2006	655581	18	7:06	2:47-2:49	2334.69	"""Of Judas in the dozens"""	8 8 8 8 8 4 4	Contour: high high high high high high high	4/4	180	3295.676802	https://open.spotify.com/track/2PGEx40QtBqtKqBziHMYVA?si=bb4583ece50e4828	excerpts_audio/EXCE-081.mp3	22/3/2025
EXCE-082	Screaming	Chelsea Grin	Self Inflicted	30	Welcome Back	2016	1419090	19	2:59	1:05-1:07	2448.93	"""I haven't found the cure"""	8 8 8 8 8 4	Contour: high high high high high medium	4/4	100	3205.708143	https://open.spotify.com/track/2DNTAwogfsz1bajqc9tiWZ?si=1356aba1556e4888	excerpts_audio/EXCE-082.mp3	22/3/2025
EXCE-083	Screaming	Chelsea Grin	Self Inflicted	30	Life Sentence	2016	1072230	19	3:12	2:50-2:53	2789.3	"""my body lays dead"""	4 8 8 4 2	Contour: high medium medium medium high	4/4	105	3632.829093	https://open.spotify.com/track/3DuKLaQzBjrOBwrbxrntd2?si=440e9069455c491f	excerpts_audio/EXCE-083.mp3	22/3/2025
EXCE-084	Screaming	Chelsea Grin	Self Inflicted	30	Strung Out	2016	1294294	20	3:26	2:16-2:20	4349.86	"""Making my heart soon burst"""	4 8 8 4 4 2	Contour: high high high medium medium high	4/4	110	3686.035447	https://open.spotify.com/track/1LluFB0N9wjZcVbbyA4ExT?si=57a6bb32d3e34b21	excerpts_audio/EXCE-084.mp3	22/3/2025
EXCE-085	Screaming	Chelsea Grin	My Damnation	33	Last Breath	2011	879146	23	3:56	2:55-2:59	3515.6	"""I have not seen you smile"""	4 4 4 4 4 4 4	Contour: high high high high high high high	4/4	118	3077.639445	https://open.spotify.com/track/7BaQ2fdQbmSXDVwAkbSHJw?si=82beb8a2766a4923	excerpts_audio/EXCE-085.mp3	22/3/2025
EXCE-086	Screaming	Chelsea Grin	My Damnation	33	Cursed	2011	815301	23	3:23	1:46-1:49	3869	"""May the fallen rise"""	4. 8 4r 4. 8 4r 2	Contour: high high high high high	4/4	120	3201.446845	https://open.spotify.com/track/6epzo4WhSnFZTQ1yZbuOh7?si=b26d01e3dd1842b4	excerpts_audio/EXCE-086.mp3	22/3/2025
EXCE-087	Screaming	Chelsea Grin	My Damnation	33	Behind A Veil Of Lies	2011	858624	23	3:23	1:56-1:58	2293.17	"""I can't seek help from angels"""	8r 8 8 8 8 8 8 8	Contour: high high high high high high high	4/4	115	3309.805165	https://open.spotify.com/track/292riyQNWjqZtY3uNlxAsx?si=6ab964aa505846d1	excerpts_audio/EXCE-087.mp3	22/3/2025
EXCE-088	Growling	Chelsea Grin	Suffer in Hell	37	Flood Lungs	2022	755448	27	3:21	1:04-1:08	3687.69	"""A single light among the void"""	8 4 8 4 8 4 8 4	Contour: medium medium medium medium medium medium medium medium 	6/8	95	3636.724762	https://open.spotify.com/track/5DeFJ230Wbr1Dk4NHlXkGS?si=36ce4a757d484a9a	excerpts_audio/EXCE-088.mp3	22/3/2025
EXCE-089	Screaming	Chelsea Grin	Suffer in Hell	37	Mourning Hymn	2022	762044	28	3:38	1:44-1:46	2079.09	"""Cast into unknown"""	8 8 8 8 4	Contour: high high high medium medium	4/4	112	3987.926497	https://open.spotify.com/track/6xikYfhXuak7z2pK0aNaJO?si=f498ce5d07ec4c29	excerpts_audio/EXCE-089.mp3	22/3/2025
EXCE-090	Screaming	Chelsea Grin	Suffer in Hell	37	Deathbed Companion	2022	773544	32	3:51	1:49-1:51	1919.12	"""It will come to surface"""	8 8 8 8 8 8	Contour: high high high high high high	4/4	110	4022.515851	https://open.spotify.com/track/5ykQnFDr2PjKKnEM9sVlP5?si=abe0e9cb628c42dd	excerpts_audio/EXCE-090.mp3	22/3/2025
EXCE-091	Clean	Trivium	Ember to Inferno: Ab Initio	31	Thrust - Ruber	2016	401029	16	5:38	2:02-2:06	3863.95	"""You watch bodies rot in your seas"""	4r 8 4 8 8 4 8 8 4	A A A A d d d d	4/4	111	4258.194786	https://open.spotify.com/track/7sLv471nu3bAxqC0wA54R2?si=dcdc104333e34bc7	excerpts_audio/EXCE-091.mp3	22/3/2025
EXCE-092	Clean	Trivium	Ember to Inferno: Ab Initio	31	Fugue - Caeruleus	2016	384619	17	4:29	2:25-2:30	4526.71	"""As this dream comes to its grim end"""	4r 8 4 4 4. 8 4 4 4. 	B B B c A A c B	4/4	115	3863.607492	https://open.spotify.com/track/5vNWYsZ1gOXYaCTi58S0fS?si=e9df86c30c004607	excerpts_audio/EXCE-092.mp3	22/3/2025
EXCE-093	Clean	Trivium	Ember to Inferno: Ab Initio	31	The Deceived - Flavus	2016	423655	19	5:48	2:01-2:07	6342.18	"""Tell that the promised have been failed"""	4r 4 4 8 4 4 4 4 2 	d d d e B B B c#	4/4	105	3357.351223	https://open.spotify.com/track/72iMpZX8sUkchJaRanWm5U?si=5b1db4386d7f4222	excerpts_audio/EXCE-093.mp3	22/3/2025
EXCE-094	Clean	Trivium	In Waves	38	Of All These Yesterdays	2011	3973370	26	4:21	2:46-2:50	3467.39	"""And dream of the color red"""	4 8 8 8 4 4 2	e e- c c c c d-	4/4	140	3052.716358	https://open.spotify.com/track/7xFNih0tNZYBdGyeeX4KsO?si=ac0f5d1a206f4513	excerpts_audio/EXCE-094.mp3	22/3/2025
EXCE-095	Clean	Trivium	In Waves	38	Forsake Not the Dream	2011	5829797	27	5:20	4:15-4:19	4254.13	"""Through the world, I feel I'm falling"""	4 4 4 4 4 8 4 4.	e d# c# B A G# e d#	4/4	120	3005.922748	https://open.spotify.com/track/46WFkRUFWb4a49F6pRE2cx?si=8b0d4b5fd18d4482	excerpts_audio/EXCE-095.mp3	22/3/2025
EXCE-096	Clean	Trivium	In Waves	38	Caustic Are the Ties That Bind	2011	5219688	27	5:34	3:37-3:40	3531.61	"""A whispered, draining plea"""	4 8 4 4 4 8 8	F c c c d- c B- A-	4/4	130	3455.414641	https://open.spotify.com/track/7pbNUemCDG0MWFbHugwnEM?si=b9a52514fa8f4f7c	excerpts_audio/EXCE-096.mp3	22/3/2025
EXCE-097	Clean	Trivium	Shogun	38	He Who Spawned the Furies	2008	3357731	38	4:07	1:59-2:03	3924.35	"""what is eating me"""	4 4 2 4 4 4 4	a- g g f e- f g	4/4	130	3124.95213	https://open.spotify.com/track/2M8wXkIciPmJysT8P4tuFw?si=4f268a7bd62f4dad	excerpts_audio/EXCE-097.mp3	22/3/2025
EXCE-098	Clean	Trivium	Shogun	38	The Calamity	2008	4008440	28	4:58	2:19-2:24	6066.44	"""The calamity makes its way to the inside"""	4r 8 8 8 8 8 4 4 4 8 8 4 4. 8 4 2	G A B- c d c B- B- A B- e- e- d e- d	4/4	130	3483.956119	https://open.spotify.com/track/6cWYNtqTnUFDCDtyJhrzVM?si=d34f7b33d27d4782	excerpts_audio/EXCE-098.mp3	22/3/2025
EXCE-099	Clean	Trivium	Shogun	38	Of Prometheus and the Crucifix	2008	4252474	28	4:40	3:26-3:29	2979.48	"""It's the cross I bear"""	2 2 2 4. [8 2] 	c# e f a- g-	4/4	180	3470.797767	https://open.spotify.com/track/2Cvk1G8nHMNOxbzj39dQNj?si=7599e96706f44883	excerpts_audio/EXCE-099.mp3	22/3/2025
EXCE-100	Clean	Killswitch Engage	Disarm the Descent	36	The Call	2013	3912961	25	2:50	1:27-1:30	4115.22	"""Leave behind this shell of flesh"""	4 8 4. 4 4 8 4.	a- a- g a- g e- f	4/4	110	3445.878914	https://open.spotify.com/track/139UKeDRlEURNgiU8Xjo7d?si=ee89dc7332a24553	excerpts_audio/EXCE-100.mp3	22/3/2025
EXCE-101	Clean	Killswitch Engage	Disarm the Descent	36	All We Have	2013	5881452	26	3:20	1:47-1:50	3867.23	"""Are you willing to just let it go?"""	8 8 8 8 8 4 8 8 4	c c g g a- g f e- g	4/4	118	3318.308201	https://open.spotify.com/track/4UIppBserVI22a6cL0lJW0?si=c9a5204ec5734dce	excerpts_audio/EXCE-101.mp3	22/3/2025
EXCE-102	Screaming	Killswitch Engage	Disarm the Descent	36	Time Will Not Remain	2013	4323231	26	3:13	2:47-2:50	3029.61	"""These are the days"""	4 6 6 6	Contour: medium high high high	3/4	189	2829.700981	https://open.spotify.com/track/2V71gG62VV7BTAZTJx7wJb?si=d5a7fbd1ed744278	excerpts_audio/EXCE-102.mp3	22/3/2025
EXCE-103	Clean	Killswitch Engage	The End of Heartache	46	Hope Is...	2004	3282157	29	4:19	3:06-3:11	4742.95	"""Hope is not lost"""	8 8 4 2	c g g f	4/4	86	2845.870267	https://open.spotify.com/track/1thI3Ygp64TyZW2XzrEOWd?si=6e328323fd304da1	excerpts_audio/EXCE-103.mp3	22/3/2025
EXCE-104	Clean	Killswitch Engage	The End of Heartache	46	Wasted Sacrifice	2004	3353498	29	4:18	2:05-2:09	3654.06	"""Through change and purity"""	4 4 4 8 8 2	a- a- a- a- a- g	4/4	130	3361.301408	https://open.spotify.com/track/22kZ0PXCCWB3OkWTVsDwZL?si=1460bf9a05a84280	excerpts_audio/EXCE-104.mp3	22/3/2025
EXCE-105	Clean	Killswitch Engage	The End of Heartache	46	World Ablaze	2004	3855544	30	4:59	2:47-2:51	4217.14	"""We alone remain"""	4. 4. 4. 4 2.	g g g g g	6/8	150	3006.380681	https://open.spotify.com/track/06Q6f0xBYaVn7uxc4RPp1o?si=ed5106e099e7496e	excerpts_audio/EXCE-105.mp3	22/3/2025
EXCE-106	Clean	Killswitch Engage	As Daylight Dies	39	Desperate Times	2007	5885757	27	4:25	3:38-3:42	4794.44	"""I will find you"""	4 4 4 2.	d B- c d	4/4	100	2624.466641	https://open.spotify.com/track/7FCjT6HbLGpumwQj10uCup?si=ee7f8651184546c4	excerpts_audio/EXCE-106.mp3	22/3/2025
EXCE-107	Clean	Killswitch Engage	As Daylight Dies	39	For You	2007	8283899	28	4:03	3:02-3:06	4187.85	"""For all you've done"""	8 4. 4. 2.	A- a- g f	6/8	90	2848.234472	https://open.spotify.com/track/3nKEShXOr902sQp5oP7XVO?si=86353709d7014707	excerpts_audio/EXCE-107.mp3	22/3/2025
EXCE-108	Clean	Killswitch Engage	As Daylight Dies	39	Still Beats Your Name	2007	8036395	28	3:19	2:44-2:48	4396.03	"""Will I live another day?"""	8 8 4 4 4 8 4. 4r	B- e- f e- d B- c	4/4	110	2733.267217	https://open.spotify.com/track/69I6bw8HEZwHpQveSThANM?si=a14ef64165a04d4a	excerpts_audio/EXCE-108.mp3	22/3/2025
EXCE-109	Clean	Asking Alexandria	Asking Alexandria	40	Empire	2017	5660323	26	4:16	2:07-2:10	3491.97	"""to just give up now I'm pushing on through"""	16r 16 16 16r 16 16 16r 16 16r 16 16r 16 16r 16 16 16r 8  	B d d d d c# B B A F3	4/4	80	3314.049981	https://open.spotify.com/track/1XebYjNOfI9GiaIvVVz615?si=482a0a345d8e46ad	excerpts_audio/EXCE-109.mp3	22/3/2025
EXCE-110	Clean	Asking Alexandria	Asking Alexandria	40	I am One	2017	7342024	28	3:32	1:45-1:48	2848.03	"""I can't be left if I'm alone """	8r 8 8 8 4 8 8 8 8	e e e g e e d e	4/4	162	3176.165717	https://open.spotify.com/track/2I3ZEbreVvEIIoS767BFpM?si=d4fdc3ac7b5e4633	excerpts_audio/EXCE-110.mp3	22/3/2025
EXCE-111	Clean	Asking Alexandria	Asking Alexandria	40	Room 138	2017	7255905	28	3:44	2:34-2:37	3142.29	"""How did you forgive me?"""	3 3 3 3 [3 4] 2	a g a g b a	4/4	180	3105.930252	https://open.spotify.com/track/0P4nUDGRUf7PjNSjLaoyam?si=b3fa0cfc45f74941	excerpts_audio/EXCE-111.mp3	22/3/2025
EXCE-112	Clean	Asking Alexandria	See What?s On The Inside	47	Fame	2021	1805124	28	3:18	1:31-1:34	3719.48	"""So you want sex?"""	8 8 8 8 8 8	a a a a a g	4/4	110	3451.789109	https://open.spotify.com/track/4ywHcQOF65nDSQLGwImNcC?si=db625f4bdb57441c	excerpts_audio/EXCE-112.mp3	22/3/2025
EXCE-113	Clean	Asking Alexandria	See What?s On The Inside	47	The Grey	2021	1997269	29	3:46	2:08-2:10	1956.69	"""my vision is blurred"""	8r 4 4 8 8 4	a g f e f	4/4	140	3299.883999	https://open.spotify.com/track/4e7SWtyR03JOQdhSfDtoEn?si=a053583921824e50	excerpts_audio/EXCE-113.mp3	22/3/2025
EXCE-114	Clean	Asking Alexandria	See What?s On The Inside	47	Misery Loves Company	2021	2012643	30	4:03	1:01-1:05	3834.72	"""Hearts don't have to break in our home"""	4r 4 4 8 8 4 8 4 4.	g f e- c e- g f f	4/4	132	3488.639936	https://open.spotify.com/track/6C91VysbX8GBwv88QFpFpO?si=baf8e6e6fc0f4ad0	excerpts_audio/EXCE-114.mp3	22/3/2025
EXCE-115	Clean	Asking Alexandria	Where Do We Go From Here?	50	Feel	2023	1479535	36	3:32	1:20-1:25	5099.09	"""Everything you told me was a lie"""	4 4 4 4 4 4 4 4 1	g g f f e d d c e	4/4	150	4008.337333	https://open.spotify.com/track/3If5t8sD0bYzwCfMiDxkCZ?si=5b6038f9c4e24f1d	excerpts_audio/EXCE-115.mp3	22/3/2025
EXCE-116	Clean	Asking Alexandria	Where Do We Go From Here?	50	Holding On To Something More	2023	1429485	36	3:24	1:28-1:31	3674.54	"""I hear the screams inside these walls"""	4 4 4 4 4 4 4 4. 8 4	g f e- a- a- a- b- g f e-	4/4	180	3589.808329	https://open.spotify.com/track/1WpgwCWpMzfNyHFNled4Xn?si=76b938e7c97a4c0d	excerpts_audio/EXCE-116.mp3	22/3/2025
EXCE-117	Clean	Asking Alexandria	Where Do We Go From Here?	50	Let The Dead Take Me	2023	1846802	39	3:44	2:18-2:21	2691.32	"""Cleanse my pain, let the blood run free"""	4 4 4 8 8 4 4 2	e- f g- e- e- g- f e-	4/4	150	3817.666289	https://open.spotify.com/track/2VG8O5SMVY2pndesJGCVub?si=702ecfa68dac4f99	excerpts_audio/EXCE-117.mp3	22/3/2025
EXCE-118	Clean	Metallica	St. Anger	47	My World	2003	6891809	32	5:45	3:53-3:58	4686.78	"""like it only rains on me"""	8 8 8 8 8 4 4 4.	f f e- g- f f e- c	4/4	100	2404.528286	https://open.spotify.com/track/0rVZ9iDQCmb2nyB8RvfAOv?si=5aa6bc8db5f4470d	excerpts_audio/EXCE-118.mp3	22/3/2025
EXCE-119	Clean	Metallica	St. Anger	47	Purify	2003	5873045	33	5:13	3:15-3:19	4301.52	"""I ain't dancing with your skeletons"""	4. 8 8 16 8. 16r 8 8r 8 8r 8 8r 8	g e- f f f e- f e- d e-	4/4	110	2404.641042	https://open.spotify.com/track/0HZpiUtrwCqKChQn0x6Bqy?si=4fca4a9d0231422a	excerpts_audio/EXCE-119.mp3	22/3/2025
EXCE-120	Clean	Metallica	St. Anger	47	All Within My Hands	2003	6366769	33	8:45	6:20-6:22	2468.75	"""My air that you receive"""	8 8 16 8 8 4.	c e- g- f e- g	4/4	110	2969.812413	https://open.spotify.com/track/2XDPSz4jo6FiOoRc7pfgm3?si=3a3ae4270fc34acf	excerpts_audio/EXCE-120.mp3	22/3/2025
EXCE-121	Clean	Metallica	Hardwired?To Self-Destruct	52	ManUNkind	2016	18403395	33	6:55	5:14-5:18	4663.33	"""Frozen captive by the nights"""	4 4 4 2 4r 4 8 2.	c# B e e e f# c#	3/4	160	4018.20121	https://open.spotify.com/track/7FPfl1TIBufq9AIgDiiqMh?si=bbc2170e20604294	excerpts_audio/EXCE-121.mp3	22/3/2025
EXCE-122	Clean	Metallica	Hardwired?To Self-Destruct	52	ManUNkind	2016	18073731	34	6:29	2:42-2:46	4766.17	"""Ooooh Foul tongue, black breath"""	1 8 4 4 4 2.	e e d B d B	4/4	140	4126.0051	https://open.spotify.com/track/3LR0MLRmhiPpD15HDWc0uM?si=571f130d41a44529	excerpts_audio/EXCE-122.mp3	22/3/2025
EXCE-123	Clean	Metallica	Hardwired?To Self-Destruct	52	Murder One	2016	20294834	35	5:45	3:29-3:33	4402.56	"""Still hear your thunder"""	4 8 8 8r 4 4.	f# f# f# a f#	4/4	105	3848.580543	https://open.spotify.com/track/6bavz6DVogZ45tleQJxlv0?si=1339ad7a784e458c	excerpts_audio/EXCE-123.mp3	22/3/2025
EXCE-124	Clean	Metallica	72 Seasons	53	Crown of Barbed Wire	2023	10825119	40	5:49	4:32-4:36	4298.59	"""This rusted empire I own"""	6 6 6 6 6 6 2	e e e d d e e d B	4/4	110	4438.797353	https://open.spotify.com/track/1FdinUvlpQj2nqbzuS7XRw?si=6fdcb91627994475	excerpts_audio/EXCE-124.mp3	22/3/2025
EXCE-125	Clean	Metallica	72 Seasons	53	Chasing Light	2023	10422079	40	6:45	4:15-4:18	2973.49	"""turn so you won't see"""	8 8 16 8 2	c# B B A A F#	4/4	90	4910.330273	https://open.spotify.com/track/5krkEca0E6k01D2CYvLuZx?si=7d20838c46a940da	excerpts_audio/EXCE-125.mp3	22/3/2025
EXCE-126	Clean	Metallica	72 Seasons	53	Room of Mirrors	2023	10256953	40	5:33	2:07-2:09	2411.09	"""That fear of letting go"""	8 8 8 8 8 2	c# c# B A d c#	4/4	125	4829.474123	https://open.spotify.com/track/07gm9g5b2LF3XJfYPnsVsj?si=e3e6da376bbc4fa0	excerpts_audio/EXCE-126.mp3	22/3/2025
EXCE-127	Clean	Protest the Hero	Volition	31	Animal Bones	2013	1158002	19	4:37	3:09-3:13	4280.16	"""Oh, the chemical reaction"""	4. 8 3 3 3 8 4 4.	b b dd b a g a b	4/4	130	3349.020971	https://open.spotify.com/track/5RmJ3OhT3h3JyUf9a0JbcK?si=e977001df06a4838	excerpts_audio/EXCE-127.mp3	22/3/2025
EXCE-128	Clean	Protest the Hero	Volition	31	A Life Embossed	2013	1347914	20	5:33	4:44-4:47	3625.26	"""I'm proud of every pit bull"""	4 4 8 4. 4 8 4.	g# g# f# e d# d# e	4/4	140	2741.692083	https://open.spotify.com/track/347MGAZ6Fd1BCPfvaO8JYq?si=d935679c53044c47	excerpts_audio/EXCE-128.mp3	22/3/2025
EXCE-129	Clean	Protest the Hero	Volition	31	Underbite	2013	1374534	20	3:45	1:25-1:28	3281.54	"""An understanding between you and me"""	8 8 8 6 6 6 6 6 6 2	f f f f e- d- f e- d- b-	4/4	150	3448.204451	https://open.spotify.com/track/4BPjLkiKvn1POvdt82Vtog?si=7ce13fee04a4463e	excerpts_audio/EXCE-129.mp3	22/3/2025
EXCE-130	Clean	Protest the Hero	Scurrilous	31	Termites	2011	794536	21	3:56	1:12-1:16	4671.04	"""with we wind he disappeared"""	4 8 4 8 4 8 4	b b- a- b- a- g- a- g- f g-	6/8	70	3461.079416	https://open.spotify.com/track/31deI3OqaBfdt0RScUn0AL?si=fbecc62976e144f8	excerpts_audio/EXCE-130.mp3	22/3/2025
EXCE-131	Clean	Protest the Hero	Scurrilous	31	Tapestry	2011	1047606	22	4:33	3:10-3:13	3416.87	"""Like a million other soldiers"""	8 8 8 8 8 8 8 8	G# G# e e d# e f# e	4/4	85	3160.19608	https://open.spotify.com/track/2ZKBuySAoVfnzvt6x4NSPq?si=00523a8febfd438f	excerpts_audio/EXCE-131.mp3	22/3/2025
EXCE-132	Clean	Protest the Hero	Scurrilous	31	The Reign of Unending Terror	2011	814597	22	3:23	1:43-1:46	2692.43	"""the reign that breaks the sky"""	4 2 2 2 2 1	b- dd- dd- dd- b- a-	4/4	265	3530.280994	https://open.spotify.com/track/4schkUgCqgU8gTEjDFI54K?si=0fa9d5c366364ab4	excerpts_audio/EXCE-132.mp3	22/3/2025
EXCE-133	Clean	Protest the Hero	Palimpsest	35	Rivet	2020	760069	25	5:35	3:26-3:29	3661.38	"""Land of common sense"""	3 3 3 3 3	cc dd- cc bb- bb- aa-	4/4	100	3322.524397	https://open.spotify.com/track/6CZHUMTwo5lwyszYARrVYy?si=8c34f17db9dd459c	excerpts_audio/EXCE-133.mp3	22/3/2025
EXCE-134	Clean	Protest the Hero	Palimpsest	35	Gardenias	2020	806186	26	4:57	4:19-4:23	4148.37	"""And her short blonde hair"""	4 4 2 2 4	A- A- g- f e-	4/4	130	3127.667382	https://open.spotify.com/track/1lHWHBeiWUSM2SOYyPhYtw?si=5cba8d244600455b	excerpts_audio/EXCE-134.mp3	22/3/2025
EXCE-135	Clean	Protest the Hero	Palimpsest	35	Reverie	2020	959865	26	5:26	3:26-3:28	1818	"""there's nowhere left to run"""	8 8 8 8 16 4	f e f e f d	4/4	130	3338.728169	https://open.spotify.com/track/0waARLc0ja4NTwQoA6lkPK?si=cc57cb43fb20433e	excerpts_audio/EXCE-135.mp3	22/3/2025
EXCE-136	Growling	Whitechapel	A New Era Of Corruption	36	A Future Corrupt	2010	602149	24	2:57	2:28-2:33	5044.2	"""the future of your dying earth"""	8 8 4 4 8 4 8 4.	Contour: low low medium medium low medium low medium	6/8	110	2976.582889	https://open.spotify.com/track/1kb8KjlSonW0Aej7Nhbi1S?si=cf39fc346f6941c3	excerpts_audio/EXCE-136.mp3	22/3/2025
EXCE-137	Growling	Whitechapel	A New Era Of Corruption	36	Single File to Dehumanization	2010	587604	24	4:43	2:51-2:55	4245.01	"""I'm a slave to myself"""	4 8 4. 2r 4 8 4. 2r	Contour: low low low low low low	5/4	140	2809.946535	https://open.spotify.com/track/5f7ZEkUnkTP4YUoTJc9tRO?si=438cc6d983984bb0	excerpts_audio/EXCE-137.mp3	22/3/2025
EXCE-138	Growling	Whitechapel	A New Era Of Corruption	36	Prayer of Mockery	2010	671134	25	3:35	1:24-1:27	3148.1	"""My patience is wearing thin"""	4 4 4 2 4 4 2	Contour: low low low low medium low low	4/4	170	2947.030131	https://open.spotify.com/track/025nPlmeJMmSIvX0yTxDS0?si=16cf27846f124b01	excerpts_audio/EXCE-138.mp3	22/3/2025
